iter	RMSE
350	19.74278385
351	19.70178618
352	19.66476297
353	19.62345184
354	19.59298344
355	19.55007033
356	19.50188736
357	19.45200532
358	19.4240572
359	19.38224556
360	19.34089572
361	19.29166297
362	19.25600662
363	19.21567513
364	19.18390088
365	19.15475114
366	19.12608325
367	19.08367213
368	19.05119962
369	19.02809289
370	18.99896116
371	18.96800632
372	18.9325516
373	18.90515391
374	18.8793299
375	18.8465304
376	18.81951956
377	18.79752802
378	18.75391357
379	18.72269392
380	18.69803741
381	18.65026051
382	18.61836667
383	18.58264031
384	18.54066652
385	18.50906282
386	18.46764033
387	18.4388698
388	18.41200072
389	18.37362496
390	18.35012818
391	18.3212379
392	18.29142039
393	18.26531393
394	18.2428894
395	18.20498323
396	18.16888585
397	18.14836877
398	18.12682467
399	18.09524794
400	18.05622764
401	18.01647136
402	17.99396109
403	17.96918344
404	17.93710368
405	17.90333136
406	17.88193942
407	17.84902869
408	17.82866912
409	17.79616136
410	17.75770201
411	17.72656264
412	17.70151977
413	17.67644838
414	17.64860805
415	17.62532912
416	17.59699585
417	17.57918203
418	17.55159611
419	17.51991745
420	17.497953
421	17.46731958
422	17.44908002
423	17.42878046
424	17.39974656
425	17.36956885
426	17.34611541
427	17.32050366
428	17.28928681
429	17.26322224
430	17.2364799
431	17.20051523
432	17.16951742
433	17.1337474
434	17.09965341
435	17.07358964
436	17.04683181
437	17.0253068
438	17.00709717
439	16.98167984
440	16.95422575
441	16.93262736
442	16.90353983
443	16.87496825
444	16.84813892
445	16.82616016
446	16.80796709
447	16.78630424
448	16.75690214
449	16.73785802
450	16.71573907
451	16.6920269
452	16.66650338
453	16.64818
454	16.63179981
455	16.60911188
456	16.58950113
457	16.56545762
458	16.54467463
459	16.52267387
460	16.49193772
461	16.46990227
462	16.45476579
463	16.42591839
464	16.39599419
465	16.37161185
466	16.34653235
467	16.32400206
468	16.2953988
469	16.2670261
470	16.24329386
471	16.22343867
472	16.19404739
473	16.17529666
474	16.15070817
475	16.13372143
476	16.1119533
477	16.09692021
478	16.07247592
479	16.04778541
480	16.02225535
481	16.00154995
482	15.98356769
483	15.95956709
484	15.93971073
485	15.91549455
486	15.89150591
487	15.87057677
488	15.85745397
489	15.83486382
490	15.81916098
491	15.80081781
492	15.77448844
493	15.75187785
494	15.73322779
495	15.71513656
496	15.69665077
497	15.67014255
498	15.64994094
499	15.62332694
