start_station_name,start_station_id,avg_lat,avg_lng,n_observations
Loomis St & Lexington St,13332,41.87219246691133,-87.66148176865458,42460
Wabash Ave & Roosevelt Rd,TA1305000002,41.86722163982696,-87.62597902228165,42156
Michigan Ave & Lake St,TA1305000011,41.8859989327149,-87.62418876943299,42134
Broadway & Waveland Ave,13325,41.94907081665969,-87.64863083749347,42093
Broadway & Cornelia Ave,13278,41.945525241259226,-87.6464504459176,41691
Dearborn Pkwy & Delaware Pl,TA1307000128,41.89896109123354,-87.629911108879,41647
New St & Illinois St,TA1306000013,41.89082250997606,-87.61856062048648,41476
Canal St & Adams St,13011,41.87929459301694,-87.63993140720193,41475
Lincoln Ave & Fullerton Ave,TA1309000058,41.9241630275423,-87.64638178359138,41178
DuSable Lake Shore Dr & Belmont Ave,TA1309000049,41.94076408894521,-87.63919449134286,40628
Halsted St & Wrightwood Ave,TA1309000061,41.92914386454636,-87.64909279245761,40580
McClurg Ct & Ohio St,TA1306000029,41.89260087514142,-87.61729976804985,40552
Halsted St & Clybourn Ave,331,41.90965522305765,-87.64812801015916,40409
Southport Ave & Roscoe St,13071,41.943724246301215,-87.6640171006399,40333
Wells St & Evergreen Ave,TA1308000049,41.906718606806926,-87.63489642404328,40330
Montrose Harbor,TA1308000012,41.963976756952285,-87.6381890016221,39294
Desplaines St & Kinzie St,TA1306000003,41.88868254392432,-87.64444573434207,38993
DuSable Lake Shore Dr & Wellington Ave,TA1307000041,41.936688083603855,-87.63683329472309,38621
State St & Chicago Ave,21544,41.89663167866618,-87.6286003187779,38375
Clark St & Schiller St,TA1309000024,41.90799910074515,-87.63151693148662,38160
Pine Grove Ave & Waveland Ave,TA1307000150,41.94944650047013,-87.6464567617867,38047
Southport Ave & Waveland Ave,13235,41.94813957125267,-87.66396191292563,37491
Fairbanks Ct & Grand Ave,TA1305000003,41.89186937414035,-87.62061166155831,37446
Dusable Harbor,KA1503000064,41.88697431121856,-87.61282962376534,37336
State St & Randolph St,TA1305000029,41.88462078615212,-87.62786777490395,36412
Ellis Ave & 55th St,KA1504000076,41.79430299546817,-87.6014500798453,36349
Larrabee St & Kingsbury St,TA1306000009,41.89773500048821,-87.64296268158063,35556
Sheffield Ave & Wellington Ave,TA1307000052,41.93626263624863,-87.6526591696358,35301
Sheridan Rd & Irving Park Rd,13063,41.95423221960758,-87.65441206123218,35031
Clinton St & Jackson Blvd,638,41.8783332776433,-87.64103946124871,35012
Clinton St & Lake St,13021,41.88560123081026,-87.64183677492709,34779
Federal St & Polk St,SL-008,41.87208874932438,-87.62956115523193,34705
Sheffield Ave & Webster Ave,TA1309000033,41.921582500820314,-87.6538153423884,34570
Clark St & Wellington Ave,TA1307000136,41.936491070713515,-87.64755133217375,34022
Rush St & Cedar St,KA1504000133,41.90233060701918,-87.6277221430325,33630
Wilton Ave & Diversey Pkwy,TA1306000014,41.93241925134158,-87.65270277253833,33598
Columbus Dr & Randolph St,13263,41.88468210636378,-87.61953182611651,33589
Dearborn St & Monroe St,TA1305000006,41.88123260196733,-87.62958587087967,33521
Kingsbury St & Erie St,13265,41.893821099038334,-87.64172241434986,33369
Sheffield Ave & Wrightwood Ave,TA1309000023,41.92870515112569,-87.65382809826728,33172
Franklin St & Jackson Blvd,TA1305000025,41.87772785261853,-87.63530242338986,32921
Peoria St & Jackson Blvd,13158,41.87764476524436,-87.64958226892543,32864
Broadway & Belmont Ave,13277,41.94010096658007,-87.64546524607654,32857
Halsted St & Dickens Ave,13192,41.91993239636559,-87.64883837839369,32696
Michigan Ave & 8th St,623,41.872733736285326,-87.62398690465025,31903
Stockton Dr & Wrightwood Ave,13276,41.93131925293857,-87.63873994742472,31648
Orleans St & Merchandise Mart Plaza,TA1305000022,41.888169062158845,-87.63653520183132,31373
Kimbark Ave & 53rd St,TA1309000037,41.799570524265945,-87.59474663650839,31215
Ravenswood Ave & Lawrence Ave,TA1309000066,41.96908913145544,-87.67423907440212,31083
Sedgwick St & North Ave,TA1307000038,41.91137552318687,-87.63868059427215,30939
Franklin St & Chicago Ave,13017,41.8967603543986,-87.63569099923674,30828
State St & Kinzie St,13050,41.889244708708276,-87.6272452815723,30600
Halsted St & Polk St,TA1307000121,41.87183606928169,-87.6466430594625,30579
Clark St & Winnemac Ave,TA1309000035,41.97334913296186,-87.66784707734462,30516
Lincoln Ave & Diversey Pkwy,TA1307000064,41.93221835895516,-87.65863722890273,30379
Mies van der Rohe Way & Chestnut St,15529,41.898581639212786,-87.62201916621623,30366
Adler Planetarium,13431,41.866109559307226,-87.60728530676533,30262
Rush St & Superior St,15530,41.895758944731185,-87.62596004622694,30132
Pine Grove Ave & Irving Park Rd,TA1308000022,41.95438185216518,-87.64805089771886,30063
Clark St & Lake St,KA1503000012,41.88599670169526,-87.63090146262792,29906
Morgan St & Polk St,TA1307000130,41.87179643278928,-87.65103394091743,29854
McClurg Ct & Erie St,KA1503000041,41.89451198786988,-87.61794436826625,29764
Daley Center Plaza,TA1306000010,41.88422238661618,-87.62963468040228,29579
Mies van der Rohe Way & Chicago Ave,13338,41.89698579383014,-87.62174714313605,29549
Broadway & Sheridan Rd,13323,41.95282488528326,-87.64999933322827,29466
Kedzie Ave & Milwaukee Ave,13085,41.9295735601313,-87.70787791315726,29413
Milwaukee Ave & Grand Ave,13033,41.89158833238758,-87.6483566367896,29288
Wood St & Milwaukee Ave,13221,41.90765190181444,-87.67254348812857,29239
Sheridan Rd & Montrose Ave,TA1307000107,41.961647537417484,-87.65464082495845,29222
Burling St & Diversey Pkwy,TA1309000036,41.933127048301216,-87.64776433123484,29043
Franklin St & Lake St,TA1307000111,41.885822237557655,-87.63549834078539,29005
Wabash Ave & 9th St,TA1309000010,41.870752499649385,-87.62573892173027,28841
Clark St & Randolph St,TA1305000030,41.88458536639893,-87.63183318577104,28678
Canal St & Madison St,13341,41.8821797859603,-87.63982529714474,28250
Sedgwick St & Webster Ave,13191,41.922162003394774,-87.63890626356367,28134
Racine Ave & Belmont Ave,TA1308000019,41.93972680252263,-87.65886531160601,28081
Franklin St & Monroe St,TA1309000007,41.88024305026085,-87.63525941203628,27579
Franklin St & Illinois St,RN-,41.891022479799304,-87.63546942716108,27232
Sheffield Ave & Kingsbury St,13154,41.91054010866412,-87.65312083249891,26938
Clark St & Grace St,TA1307000127,41.95079958573484,-87.65917599267262,26858
State St & 33rd St,13216,41.834731700629504,-87.62581597050782,26789
Clarendon Ave & Gordon Ter,13379,41.95785101824866,-87.64950707399635,26602
Lakefront Trail & Bryn Mawr Ave,15576,41.984036956050616,-87.65229267782136,26575
LaSalle St & Jackson Blvd,TA1309000004,41.87813846060501,-87.63188833435632,26112
Greenview Ave & Fullerton Ave,TA1307000001,41.92534937602459,-87.66580926849888,26021
California Ave & Milwaukee Ave,13084,41.92268960360836,-87.69715150669151,25986
May St & Taylor St,13160,41.86947540703181,-87.65548348876058,25722
Southport Ave & Wellington Ave,TA1307000006,41.935717207071626,-87.66360131892343,25418
Racine Ave & Fullerton Ave,TA1306000026,41.92557570173324,-87.65842603223844,25346
Clark St & North Ave,13128,41.91196690311729,-87.63196769040272,25087
Milwaukee Ave & Wabansia Ave,13243,41.912617500036326,-87.68139375125993,24679
Ritchie Ct & Banks St,KA1504000134,41.906861865218566,-87.62620814793526,24635
Michigan Ave & Jackson Blvd,TA1309000002,41.87784857615552,-87.62408630807425,24633
Damen Ave & Cortland St,13133,41.915984861109095,-87.67732639983139,24579
Wabash Ave & Wacker Pl,TA1307000131,41.88687112089466,-87.62605435675579,24536
Lincoln Park Conservatory,LP-,41.92395405365744,-87.63583894267325,24384
Canal St & Monroe St,13056,41.881682856256866,-87.63951339914094,24198
LaSalle Dr & Huron St,KP1705001026,41.8948432051562,-87.63231622357257,24138
Field Blvd & South Water St,15534,41.886304397377025,-87.61751284853784,24123
Southport Ave & Wrightwood Ave,TA1307000113,41.92877707014103,-87.66390540772551,24017
Southport Ave & Belmont Ave,13229,41.93946197767927,-87.66376088735458,23902
Clarendon Ave & Junior Ter,13389,41.96099806303638,-87.64960154716621,23900
Bissell St & Armitage Ave*,chargingstx1,41.91832799470362,-87.65218864880688,23521
Ogden Ave & Chicago Ave,TA1305000020,41.89636451764521,-87.65406696900834,23325
